Comments,Year,ID Number,Name,Name UD,Illustration,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. function of construction,Synt. function of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type (only for Clause and Biclausal),Usage label,Anchor words,Common fillers,Comment,STRUCTURE in UD,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,84,(VP) все NumCrd NP-Gen,(VP) все Num NP-Gen,"Он купил детям все десять книг, которые они просили.",,,,,,,,,,,,Nominal pattern,,,Quantification,Universal,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universal,,,,,,,,,,,,,,,,
,,85,всё VP-Ipfv,всё VP-Imp,С самого приезда в Пекин он всё грустил.,,,,,,,,,,,Adv,Adv,Adv,,Phase of action,Continuative,Degree of intensity,Maximizer,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Maximizer,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,,,,,
,,86,всё VP-Ipfv да/и ~VP-Ipfv,всё VP-Imp да/и VP-Imp,Мальчик всё шёл да шёл.,,,,,,,,,,,Adv,Adv,Adv,,Phase of action,Continuative,Degree of intensity,Maximizer,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Maximizer,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,,,,,
,,87,всего лишь NP,всего лишь NP,Она всего лишь медсестра.,,,,,,,,,,,,Adj,,,Assessment,Negative,,,,,,,,,NA,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,88,всего-навсего NP,всего-навсего NP,Это был всего-навсего старый диван.,,,,,,,,,,,,Adj,Reduplication; Adv,,Assessment,Negative,,,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,89,NP-Nom Cop всем Noun-Dat.Pl ~Noun-Nom,NP-Nom Cop всем Noun-Dat.Plur Noun-Nom,Всем борщам борщ.,,,,,,,,,,,Clause,Nominal pattern,Nominal pattern; Reduplication,,Comparison,Contrast,Assessment,"Positive, Negative",,,,,,,NA,,,,,,,,,,"Positive, Negative",,,,,,,Contrast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,90,вследствие NP-Gen Cl,вследствие NP-Gen Cl,Вследствие такого поведения наш договор аннулируется.,,,,,,,,,,,Adv,Prep,Complex Prep,,Cause,,,,,,,,,,Formal,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,91,"где бы ни VP-Pst, Cl","где бы ни VP-Past, Cl","Где бы он ни появлялся, сразу становился душой общества.",,,,,,,,,,,Biclausal,,Conj; Negation,,Spatial expression,Location,,,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location,,,,,,,
,,92,где-то XP,где-то XP,Я приду где-то в восемь вечера.,,,,,,,,,,,,Adv,,,Degree of accuracy,Approximate,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,Approximate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,93,гораздо Adj-Cmp/Adv-Cmp,гораздо Adj-Cmp/Adv-Cmp,Дом гораздо просторнее квартиры.,,,,,,,,,,,Adj / Adv,Adj / Adv,Adv,,Comparison,Inequality,Degree of intensity,Booster,,,,,,,NA,,,,,,,,,,,,,,,,,Inequality,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,94,готовность NP-Gen VP-Inf,готовность NP-Gen VP-Inf,Готовность родителей бороться поразила всех.,,,,,,,,,,,Adj,Nominal pattern,Nominal pattern,,Temporary characteristics,Emotional state,Attitude,Willing,,,,,,,NA,,,,,,,,,,,Willing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,Emotional state,,,
,,95,грех Cop не VP-Pfv.Inf!,грех Cop не VP-Perf.Inf!,Грех не выпить!,,,,,,,,,,,,Clause / Praedic,,,Causation,Indirect,Volition,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,96,давай(те) VP-Fut.1.Pl!,давай(те) VP-Fut.1.Plur!,Давайте пойдем в кино!,,,,,,,,,,,,Clause,,,Causation,Direct,,,,,,,,Exclamatory,NA,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,97,дать-Imp (ты) (NP-Dat) VP-Inf!,дать-Imper (ты) (NP-Dat) VP-Inf!,Дай доделать!,,,,,,,,,,,,Clause / Verb pattern,,,Causation,Direct,Volition,,,,,,,Exclamatory,Colloquial,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,98,(с)даваться-Pst PronPers-Dat этот NP-Nom!,(с)даваться-Past PronPers-Dat этот NP-Nom!,Дался тебе этот неудачник!,,,,,,,,,,,,Clause,,,Assessment,Negative,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100,далеко до NP-Gen,далеко до NP-Gen,Ещё было далеко до дома.,,,,,,,,,,,Praedic,Adv,Adv; Prep,,Measure,Distance,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distance,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,далеко не Adj/Adv,далеко не Adj/Adv,Он далеко не умный студент.,,,,,,,,,,,,Adv,,,Assessment,Positive; Negative,Degree of intensity,Booster,,,,,,,NA,,,,,,,,,,"Positive, Negative",,,,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102,"(Cl,) даром что Cl","(Cl,) даром что Cl","Люди везде одинаковые, даром что говорят на разных языках.",,,,,,,,,,,,Biclausal,,,Concession,Failed expectation,,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,,,,,,Failed expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103,"NP-Nom делать вид, что Cl","NP-Nom делать вид, что Cl","Он делает вид, что слушает.",,,,,,,,,,,Matrix,Matrix,Light verb; Conj,,Comparison,Imitation,,,,,,,,,NA,,,,,,,,,,,,,,,,,Imitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,104,"делать нечего/некуда деваться, Cl","делать нечего/некуда деваться, Cl","Делать нечего, нам нужно ему помочь.",,,,,,,,,,,,Parenth,,,Attitude,Acceptance of the situation,,,,,,,,,Colloquial,,,,,,,,,,,Acceptance of the situation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105,делать PronPers-Dat Cop нечего!,делать PronPers-Dat Cop нечего!,Делать тебе нечего!,,,,,,,,,,,,Clause,,,Assessment,Negative,Reaction to the previous discourse,,Attitude,Disapproval,,,,Exclamatory,Colloquial,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,
,,106,"(все/вся) дело/суть Cop в том, что Cl","(все/вся) дело/суть Cop в том, что Cl","Дело в том, что она переживает трудные времена.",,,,,,,,,,,Matrix,Matrix,Noun; Simplex prep; Pron; Conj,,Discourse structure,Emphasis,Cause,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,107,"дело Cop не в NP-Loc (, а в NP-Loc)!","дело Cop не в NP-Loc (, а в NP-Loc)!",Дело не в опозданиях.,,,,,,,,,,,Clause,Clause,Noun; Negation; Simplex prep,,Discourse structure,Topic,Cause,,,,,,,Assertive,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,Topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108,деньги на NP-Acc,деньги на NP-Acc,Он откладывал деньги на покупку машины.,,,,,,,,,,,Adj,Nominal pattern,Nominal pattern,,Salient property,Unspecified,Purpose,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,Unspecified,,,,,,,,,,
,,109,NP-Nom держать NP-Acc при себе,NP-Nom держать NP-Acc при себе,Он держит мысли при себе.,,,,,,,,,,,Verb pattern,Verb pattern,Verb,,Temporary characteristics,Behavior,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behavior,,,
,,110,"держу пари, (что) Cl","держу пари, (что) Cl","Держу пари, что ты в него влюблена.",,,,,,,,,,,Parenth,Parenth,,,Epistemic modality,High degree of certainty,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,High degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,111,до сих пор Cl,до сих пор Cl,До сих пор мне грустно.,,,,,,,,,,,Adv,Adv,PP,,Time,Temporal boundary,Phase of action,Continuative,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,Temporal boundary,,,,
,,112,до чего (же) XP,до чего (же) XP,До чего ты злой!,,,,,,,,,,,Clause,Clause,Simplex prep; Pron; Adv,,Assessment,Positive; Negative,Degree of intensity,Booster,,,,,,Exclamatory,Colloquial,,,,,,,,,,"Positive, Negative",,,,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,113,до NP-Gen Cl,до NP-Gen Cl,До завтрака нельзя включать телевизор.,,,,,,,,,,,,Adv,,,Time ,Temporal boundary,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temporal boundary,,,,
,,114,довольно (PronPers-2.Dat) VP-Ipfv.Inf!,довольно (PronPers-2.Dat) VP-Imp.Inf!,Довольно жаловаться!,,,,,,,,,,,,Clause,,,Prohibition,Continuative prohibitive,,,,,,,,Exclamatory,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative prohibitive,,,,,,,,,,,,,,,,,,
,,115,"должно быть, Cl","должно быть, Cl","Вы, должно быть, этого не знали.",,,,,,,,,,,Parenth,Parenth,,,Epistemic modality,High degree of certainty,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,High degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,116,долой NP-Acc!,долой NP-Acc!,Долой демократию!,,,,,,,,,,,,Clause,,,Prohibition,Continuative prohibitive,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative prohibitive,,,,,,,,,,,,,,,,,,
,,117,NP-Nom Cop (совсем) другой NP-Nom.Sg,NP-Nom Cop (совсем) другой NP-Nom.Sing,Это другое дело.,,,,,,,,,,,,Adj,,,Assessment,Positive,Comparison,Contrast,Reaction to the previous discourse,,,,,,NA,,,,,,,,,,Positive,,,,,,,Contrast,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,
,,118,едва (ли) не ХP,едва (ли) не ХP,Актёр едва ли не упал перед зрителями.,,,,,,,,,,,,Adv,,,Degree of intensity,Booster,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,119,едва ли XP/Cl,едва ли XP/Cl,Едва ли Паша заплатит.,,,,,,,,,,,Adv,Clause,,,Epistemic modality,Low degree of certainty,,,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,120,едва не VP-Pst,едва не VP-Past,Иван Иванович едва не умер после такого розыгрыша.,,,,,,,,,,,,Adv,,,Result,Antiresultative,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antiresultative,,,,,,,,,,,,,
,,121,еле XP,еле XP,Он еле ходит.,,,,,,,,,,,,Adv,,,Degree of intensity,Minimizer: Low degree,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Minimizer: Low degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,122,"Cl, ещё (и) Cl!","Cl, ещё (и) Cl!","Он не поздравил меня с днем рождения, ещё и хочет, чтобы я его любила",,,,,,,,,,,,Clause,,,Assessment,Negative,Discourse structure,Discourse additive,,,,,,Exclamatory,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,Discourse additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,123,ещё бы Cl!,ещё бы Cl!,Ещё бы ты был недоволен!,,,,,,,,,,,,Clause,,,Reaction to the previous discourse,,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,
,,124,ещё Adv-Cmp/Adj-Cmp,ещё Adv-Cmp/Adj-Cmp,Он стал выглядеть ещё хуже.,,,,,,,,,,,Adj / Adv,Adj / Adv,Adv; Suffix,,Comparison,Inequality,Degree of intensity,Booster,,,,,,,NA,,,,,,,,,,,,,,,,,Inequality,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,125,ещё VP-Fut,ещё VP-Fut,Ещё побьют!,,,,,,,,,,,,Clause,,,Apprehension,Apprehensive,,,,,,,,Exclamatory,Colloquial,,,,,,,,,Apprehensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,126,за кого NP-Nom NP-Acc принимать? ,за кого NP-Nom NP-Acc принимать? ,За кого он меня принимает? Я никогда не списываю.,,,,,,,,,,,,Clause,,,Attitude,Dissatisfaction,Salient property,Matching the standard,,,,,,Interrogative / Exclamatory,Colloquial,,,,,,,,,,,Dissatisfaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matching the standard,,,,,,,,,,
,,127,VP за NP-Acc,VP за NP-Acc,Мать за дочь сделала домашнее задание.,,,,,,,,,,,,Prep,,,Non-standard subject,Subject substitution,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subject substitution,,,,,,,,,,,,,,,,,,,,,,,
,,128,за NumCrd-Acc NP-Gen.Pl,за NumCrd-Acc NP-Gen.Plur,Набралось за сотню желающих.,,,,,,,,,,,,Adv,,,Measure,,Degree of accuracy,Approximate,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,Approximate,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,129,NP/VP за NumCrd-Acc рублей,NP/VP за NumCrd-Acc рублей,Открытка за пять рублей,,,,,,,,,,,,Nominal pattern,,,Measure,Money,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Money,,,,,,,,,,,,,,,,,,,,,,,,,,
,,130,NP-Nom за-Verb VP-Pfv.Inf,NP-Nom за-V VP-Perf.Inf,Я зашел поговорить.,,,,,,,,,,,Verb pattern,Verb pattern,Verb,,Purpose,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,131,NP-Nom Cop здоров VP-Inf,NP-Nom Cop здоров VP-Inf,Он здоров врать.,,,,,,,,,,,Clause,Praedic,Praedic,,Assessment,Positive,Salient property,Capacity for an activity,,,,,,,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capacity for an activity,,,,,,,,,,
,,132,NP-Nom знать NP-Gen по NP-Dat,NP-Nom знать NP-Gen по NP-Dat,Он знал актера по фильмам.,,,,,,,,,,,,Verb pattern,,,Source of information,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,
,,133,VP из NP-Gen (к NP-Dat),VP из NP-Gen (к NP-Dat),Иван из милости забрал к себе кота.,,,,,,,,,,,Adv,Adv,Simple prep,,Cause,,Attitude,Emotional attitude,,,,,,,NA,,,,,,,,,,,Emotional attitude,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,134,из-за NP-Gen,из-за NP-Gen,Это всё из-за тебя.,,,,,,,,,,,Adv,Prep,Simple prep,,Cause,,,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,135,именно XP,именно XP,Именно уехать-то нельзя!,,,,,,,,,,,,Adv,,,Discourse structure,Emphasis,Reaction to the previous discourse,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,
,,136,"ишь, какой Adj-Nom Cop!","ишь, какой Adj-Nom Cop!","Ишь, какой веселый!",,,,,,,,,,,,Clause,,,Assessment,Negative,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,137,"к ужасу/счастью NP-Gen, Cl","к ужасу/счастью NP-Gen, Cl","К счастью мамы, все пришли домой рано.",,,,,,,,,,,,Parenth,,,Attitude,Emotional attitude,,,,,,,,,NA,,,,,,,,,,,Emotional attitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,138,к чему Cl,к чему Cl,К чему такая спешка?,,,,,,,,,,,Clause,Clause,Simplex prep; Pron,,Cause,,,,,,,,,Interrogative,Colloquial,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,139,"каждый/всякий раз VP, (когда/как Cl)","каждый/всякий раз VP, (когда/как Cl)","Каждый раз улыбаюсь, когда вижу её.",,,,,,,,,,,,Biclausal,,,Pluractionality,Habitual,Condition,,Quantification,Universal,,,,Assertive,NA,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,Habitual,,,,Universal,,,,,,,,,,,,,,,,
,,140,как всегда XP,как всегда XP,"Вы прекрасны, как всегда.",,,,,,,,,,,,Parenth,,,Pluractionality,Habitual,Quantification,Universal,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Habitual,,,,Universal,,,,,,,,,,,,,,,,
,,141,"как известно, Cl","как известно, Cl","Как известно, он мастер стихи сочинять.",,,,,,,,,,,,Parenth,,,Source of information,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,
,,142,как (NP-Dat) не Pred Cop VP-Inf!,как (NP-Dat) не Praedic Cop VP-Inf!,Как не стыдно ходить в грязной одежде!,,,,,,,,,,,,Clause,,,Assessment,Negative,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,143,как будто XP/Cl,как будто XP/Cl,Как будто появилась молния.,,,,,,,,,,,Clause,Conj / Adv,Conj,,Comparison,Similarity,,,,,,,,,NA,,,,,,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,144,"((Я) боюсь,) как бы (NP-Dat) не VP-Pfv.Inf","((Я) боюсь,) как бы (NP-Dat) не VP-Perf.Inf","Боюсь, как бы не упасть!",,,,,,,,,,,,Clause,,,Apprehension,Apprehensive,,,,,,,,Exclamatory,NA,,,,,,,,,Apprehensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,145,"как бы ни VP-Pst, Cl","как бы ни VP-Past, Cl","Как бы ни хотелось спать, но пришлось идти на работу.",,,,,,,,,,,,Biclausal,,,Concession,Failed expectation,,,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,Failed expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,147,как насчёт XP?,как насчёт XP?,Как насчёт выпить?,,,,,,,,,,,,Clause,,,Causation,Indirect,Volition,,,,,,,Interrogative,Colloquial,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,148,NP-Nom как начать VP-Inf!,NP-Nom как начать VP-Inf!,А он как начал кричать!,,,,,,,,,,,,Clause,,,Phase of action,Inchoative,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inchoative,,,,,,,,,,,,,,,,,,,,,
,,149,как Cop не VP-Inf!,как Cop не VP-Inf!,Как не знать!,,,,,,,,,,,,Clause,,,Reaction to the previous discourse,,,,,,,,,Interrogative / Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,
,,150,как нельзя Adv-Cmp VP,как нельзя Adv-Cmp VP,Порошок как нельзя лучше отстирал жирные пятна.,,,,,,,,,,,Adv,Adv,Adv; Modal,,Comparison,Inequality,Degree of intensity,Maximizer,,,,,,,NA,,,,,,,,,,,,,,,,,Inequality,,,,,Maximizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,151,"как ни VP, (а) Cl","как ни VP, (а) Cl","Как он ни старался, экзамен сдать не смог.",,,,,,,,,,,,Biclausal,,,Concession,Failed expectation,,,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,Failed expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,152,как это XP/Cl?,как это XP/Cl?,Как это он не приедет?,,,,,,,,,,,,Clause,,,Reaction to the previous discourse,Surprise,Mirative,,,,,,,Interrogative / Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,Surprise,,,,,,,,,,,,,,,
,,153,"как XP, так и XP","как XP, так и XP","Его сказки про животных любят как взрослые, так и дети.",,,,,,,,,,,,Conj ,,,Options,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,
,,154,"как VP/Cl, так и VP/Cl","как VP/Cl, так и VP/Cl","Как услышал, так и записал.",,,,,,,,,,,Biclausal,Biclausal / Conj,Conj,,Comparison,Equality,,,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,Equality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,156,как-то/что-то Cl,как-то/что-то Cl,Что-то мне душно.,,,,,,,,,,,Adv,Adv,,,Epistemic modality,Low degree of certainty,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,157,каков Cop NP-Nom!,каков Cop NP-Nom!,Каков подлец!,,,,,,,,,,,,Clause,,,Assessment,Negative,Degree of intensity,Booster,,,,,,Exclamatory,Obsolete,,,,,,,,,,Negative,,,,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,158,какое NP-Dat дело Cop до NP-Gen,какое NP-Dat дело Cop до NP-Gen,"В конце концов, какое ей дело до его отношений с Ритой!",,,,,,,,,,,,Clause,,,Attitude,Unconcern,,,,,,,,Interrogative / Exclamatory,Colloquial,,,,,,,,,,,Unconcern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,159,какой (там) NP!,какой (там) NP!,"Какие шутки, здесь всё серьёзно!",,,,,,,,,,,,Clause,,,Assessment,Positive; Negative,Reaction to the previous discourse,,,,,,,Interrogative / Exclamatory,Colloquial,,,,,,,,,,"Positive, Negative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,
,,160,какой ещё NP,какой ещё NP,Какую ещё машину ты купил?,,,,,,,,,,,,Clause,,,Reaction to the previous discourse,Surprise,Mirative,,,,,,,Interrogative / Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,Surprise,,,,,,,,,,,,,,,
,,161,какой из NP-Gen Cop NP-Nom?!,какой из NP-Gen Cop NP-Nom?!,Какой из тебя учитель?,,,,,,,,,,,,Clause,,,Assessment,Negative,,,,,,,,Interrogative / Exclamatory,NA,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,162,какой такой NP,какой такой NP,Какая такая причина у нее обижаться?,,,,,,,,,,,,Clause,,,Reaction to the previous discourse,Surprise,Mirative,,,,,,,Interrogative / Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,Surprise,,,,,,,,,,,,,,,
