Comments,Year,ID Number,Name,Name UD,Illustration,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. function of construction,Synt. function of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type (only for Clause and Biclausal),Usage label,Anchor words,Common fillers,Comment,STRUCTURE in UD,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,478,NP-Dat лишь бы VP-Inf,NP-Dat лишь бы VP-Inf,Вам лишь бы деньги тратить.,,,,,,,,,,,,Clause,,,Assessment,Negative,Quantification,Exclusive,Attitude,Disapproval,,,,Exclamatory,Colloquial,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,479,NP-Dat Cop не до NP-Gen,NP-Dat Cop не до NP-Gen,Мне не до уборки.,,,,,,,,,,,,Praedic,,,Attitude,Unwilling,,,,,,,,,Colloquial,,,,,,,,,,,Unwilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,480,NP-Dat не пристало VP-Inf,NP-Dat не пристало VP-Inf,Тебе не пристало ходить по дискотекам.,,,,,,,,,,,,Verb pattern,,,Prohibition,Attenuated prohibitive,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attenuated prohibitive,,,,,,,,,,,,,,,,,,
,,481,NP-Dat Cop можно VP-Inf,NP-Dat Cop можно VP-Inf,До Москвы из Нью-Йорка можно долететь за десять часов.,,,,,,,,,,,,Praedic,,,Root modality,Possibility,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possibility,,,,,,,,,,,,
,,482,NP-Dat нет дела до NP-Gen,NP-Dat нет дела до NP-Gen,Мне нет дела до твоих денег.,,,,,,,,,,,,Praedic,,,Attitude,Unconcern,,,,,,,,,Colloquial,,,,,,,,,,,Unconcern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,483,"NP-Dat ничего (другого) не оставаться (делать), (кроме) как VP-Inf","NP-Dat ничего (другого) не оставаться (делать), (кроме) как VP-Inf","Ему ничего не остаётся, как уехать из страны.",,,,,,,,,,,,Matrix,,,Quantification,Exclusive,Root modality,Necessity: External,Attitude,Negative,,,,,NA,,,,,,,,,,,Negative,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,
,,484,NP-Dat Cop пора VP-Inf,NP-Dat Cop пора VP-Inf,Мне пора идти в школу.,,,,,,,,,,,,Praedic,,,Time,Proper time,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proper time,,,,
,,485,NP-Dat стоить VP-Inf,NP-Dat стоить VP-Inf,Повару стоит научиться готовить.,,,,,,,,,,,,Verb pattern,,,Causation,Indirect,Root modality,Necessity: External,,,,,,,NA,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,
,,486,NP-Dat Cop стыдно за NP-Acc,NP-Dat Cop стыдно за NP-Acc,Мне стыдно за твое поведение.,,,,,,,,,,,,Praedic,,,Attitude,Disapproval,Temporary characteristics,Emotional state,Assessment,Negative,,,,,NA,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emotional state,,,
,,487,только бы/лишь/хоть (NP-Dat) Cop VP-Pfv.Inf,только бы/лишь/хоть (NP-Dat) Cop VP-Inf.Perf,Мне только бы увидеть ее.,,,,,,,,,,,,Adv,,,Volition,,Quantification,Exclusive,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,488,NP-Dat удалось VP-Inf,NP-Dat удалось VP-Inf,Мише удалось покурить.,,,,,,,,,,,,Verb pattern,,,Actuality,,Result,subtype Result,,,,,,,NA,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,
,,489,NP-Dat хватать NP-Gen,NP-Dat хватать NP-Gen,Нам хватает сахара.,,,,,,,,,,,,Verb pattern,,,Measure,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,490,NP-Dat NP-Acc не сломить!,NP-Dat NP-Acc не сломить!,Армии меня не сломить!,,,,,,,,,,,,Verb pattern,,,Attitude,Emotional attitude: Resistance,,,,,,,,,NA,,,,,,,,,,,Emotional attitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
